,subject,multisigs,pre_bostrom_heroes,comm_pool,cyberd_bot_sergey,delegation,euler-4,inventors,investors,lifetime,load,port,relevance,sergeandmyself_rewards,takeoff,posthuman_rewards,sum
163,bostrom1evz2xfd6sam0kzz5qc5lje4s90vcgyyrzz47pm,,,,,,,,,,,,11323309556.0,,,,11323309556.0
164,bostrom1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvk89kwa,,4982262138.0,,,53188072.0,,,,6083030821.0,,,,,,,11118481031.0
165,bostrom1d7n8znqg635yxnzlsycnt6kut8z5du5yftutrf,,,,,,10958899451.0,,,,,,,,,,10958899451.0
166,bostrom1nywu6z26tpcrr2kcqe8z7t235wrfkhfcfhlzmk,,3688752206.0,,,4106198982.0,,,,3137937218.0,,,,,,,10932888406.0
167,bostrom1mzmzlzk4xpm6zy68c43e6hen98w07yhfedumgg,,,,,,,,,,,,10780033350.0,,,,10780033350.0
168,bostrom1nvr4qa7szsd3e7xfysn946gcqv5wyemlcxmxpw,,2222757245.0,,,5133236390.0,,,,3297924061.0,,,,,,,10653917696.0
169,bostrom1wt9h9wm3zf7yzsy68x7v8p973w02kw8yyurh55,,,,,2760107758.0,,,,7777346692.0,,,,,,,10537454450.0
170,bostrom143x4d5wx50204zyreqg8ekgq3n3fcaxucacztp,,,,,,,,,,,9826875134.0,,,,,9826875134.0
171,bostrom16pdckvu70ufzvm8avd9anga6k35nu7axym02wp,,,,,,9792986284.0,,,,,,,,,,9792986284.0
172,bostrom1udal5nr3lz7mg7j7k79se4rz0tsjj8lur45q99,,,,,,,,,,2666930610.0,,7057738490.0,,,,9724669100.0
173,bostrom1ucl2c39dpwqm9pp6cvmlazn2tkwavszhs27j96,,,,,2575695017.0,,,,7109962804.0,5891599.0,,,,,,9691549420.0
174,bostrom1y83nga220nfjt9zz0mmqc90cd705az95n5cfwj,,,,,,,,,,,9608859331.0,,,,,9608859331.0
175,bostrom18ghjkwygsvjcsh20tc5zzhfttxxuex7a9lq8ps,,,,,,,,,,,,,,9561458741.0,,9561458741.0
176,bostrom18txzlmkqf264a2awhey6lmeq0dtv5ex69d2fcy,,,,,,9333557553.0,,,,,,,,,,9333557553.0
177,bostrom1pswgrf5ap0kld3lpun5z4x08wh7nmgamd8mgex,,,,,3282151788.0,,,,5358993270.0,,,,,,,8641145058.0
178,bostrom1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxfdqtd7c,,,,,,,,,,119010306.0,972470487.0,,6001189000.0,,,7092669793.0
179,bostrom1mmtt0cnsgwx3t90vs4tn9k08kw8xn4v3pggfu7,,,,,,6701991111.0,,,,,,,,,,6701991111.0
