,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
84,cyber1rqudjcrdwqedffxufmqgsleuguhm7pkayhwy0y,,,27363284437.0,,,27363284437.0
85,cyber1qgqkc9t3pfsp6yxjwds70e4r9y0p6resl3qlv9,,,26376882296.0,,,26376882296.0
86,cyber12kd8w45rqxuwpwqvpmdyvvdey9ezeqhagdqgsf,,,26208333897.0,,,26208333897.0
87,cyber147rnn0rxqkythj4j9ccq0kytmh7f005rhhw240,,11199572491.0,,13133148758.0,,24332721249.0
88,cyber1dn09uyhwmv3ratntc7c603vczgrec32cw3hyk0,,,24175157388.0,,,24175157388.0
89,cyber1stfw0z5nf2ncxxtrk7zndpf2dla3nh37ppm40e,,11914393376.0,,11189940762.0,,23104334138.0
90,cyber1qezgmksavgdvcvf9ckhazfy3jfw8whhzdmlsgl,,,21979059507.0,,,21979059507.0
91,cyber1d552nfgekkugdgxw3zl242qpxapl67jfj6dpuu,,,21555502893.0,,,21555502893.0
92,cyber10vpygn9ftv85ra7j7qpewuq5jdgvpjmen87tc4,,,20335729382.0,,,20335729382.0
93,cyber1teuan269feyw4ax94jfp4pcgrhqnn28gz73uvn,20050000000.0,,,,,20050000000.0
94,cyber1z8fyzv3mjfccvrxhckr2u3lnc0hrgrlm369js9,20000000000.0,,,,,20000000000.0
95,cyber17ud38eyfkd800kvw3c9kl3zpvgvj296ndg3zg7,20000000000.0,,,,,20000000000.0
96,cyber1d6nkeqxmme3564wd889kr6cjed3asxqzk525ez,20000000000.0,,,,,20000000000.0
97,cyber1djdfq5mn3dzm9whpznczxz77s8ep2qgguva03w,20000000000.0,,,,,20000000000.0
98,cyber1gcy4f6f2sc73aegd9r68rt2q6teekl6s22lxxu,20000000000.0,,,,,20000000000.0
99,cyber1d9en5u0cfaucavx848qeq4k6ywqd3z5ds9d9s2,20000000000.0,,,,,20000000000.0
100,cyber19rtverjn8kw7dzwzch2elktxgcmak6dlyyma7n,20000000000.0,,,,,20000000000.0
101,cyber1tcnlvf6qhlc3x7ax2vk3vzhxhf8wy8xrh2v9as,20000000000.0,,,,,20000000000.0
102,cyber1edwwsevuywe3sx82sustvyx3f3cvjt44cstrle,20000000000.0,,,,,20000000000.0
103,cyber18t3kx877vyvstcvn50cgn5w6hppe8ce09cd3vh,,,18546327724.0,,,18546327724.0
