,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,sum
182,cyber1a30w6j4m6g3s2c6zt02z56xynnuaqmn3e0aata,,,,,,,774688373.0,,774688373.0
183,cyber1pmaltcu0x97x8j5klc8xluaapkzcvztchjldvn,,,,,2356640.0,,734384390.0,,736741030.0
184,cyber1sm9sq4wnn62tk5yz0x3fvvx2ea9efguq2578dg,,,,,128044091.0,594091324.0,,,722135415.0
185,cyber1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ck2hrl,,,,,,,704276829.0,,704276829.0
186,cyber1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m7dr964,,,,,2356640.0,,673130864.0,,675487504.0
187,cyber1keny4peq77drtcdj6fscd9eknqcqyjmxyqsuu6,,,,,,,647527281.0,,647527281.0
188,cyber1gyhwacrpqwues05pkavw7xwehcqsmgruqfxekd,,,,,,564067516.0,,,564067516.0
189,cyber16w2xwdzf6tzucpwcjjqtg9656a4kkv7gw3fhpc,,205345882.0,,252779909.0,,,,,458125791.0
190,cyber1u2s32xsws9y2sskz6zvn7lawepdqxad5fqrln8,,,,,10212105.0,320482915.0,,,330695020.0
191,cyber14z6glatrayal5j53632kcefskyge6ujmvgym73,,,,327466267.0,,,,,327466267.0
192,cyber1glgevt43557u6s7a2q9q40kzt8myw4ngu5f458,,,,,309112576.0,,,,309112576.0
193,cyber1d8754xqa9245pctlfcyv8eah468neqzn49ulck,,,,,7069919.0,232748525.0,,,239818444.0
194,cyber14n625exc6ftee3t6tez3hj47lv49amjzet86p7,,,,236797768.0,,,,,236797768.0
195,cyber1z8mlsd42eaguaqf5gexy5a7jxgpwpgvzpane7k,,,,,,,,218609970.0,218609970.0
196,cyber1v2n3hg6s4resacgpemfyrd5hul2ntk7tdnqddp,,,,,,,,218382779.0,218382779.0
197,cyber1ufpz4dlnfawg0pr5dcq4hkrf9gs30mu0wxe6jn,,,,,,,,218341548.0,218341548.0
198,cyber1mkhugmqg9c0qe27stz3m4my9xq7e9pctt2hcxu,,,,,,,,218115192.0,218115192.0
199,cyber19uryr2zuxcfdevfq429jng9a2evxwadl5wh5z9,,,,,1571093.0,197186458.0,,,198757551.0
200,cyber1jst67u54vquzvun3dawpmpwyx5ar8maye9909r,,,181160067.0,,,,,,181160067.0
201,cyber1kk79xcsuah7ckvunku78094gyh7900ehj8vdt7,,,,,,,173703544.0,,173703544.0
202,cyber1fhj7pkuvwflr7z7ngp2v9tj7g58aq2tjv5nj20,,,,135097195.0,,,,,135097195.0
203,cyber1l4krahjfp87exsmumzpnrfeaer2gsghpckyjk8,,,,112519320.0,,,,,112519320.0
